Name Of Hotel,City,Country,Rating,Amenities,Description,Reviews
Gast - und Kulturhaus Der Teufelhof Basel,Basel,Switzerland, 9.1 ,"Free WiFi, Pets allowed, Family rooms, Fitness centre, Non-smoking rooms, Restaurant, Tea/coffee maker in all rooms, Bar",Situated in the ,"“The staff is very nice, location is excellent and Atelier is a great restaurant for dinner, though not cheap. Basically it's two hotels, one that is in a historic building and another one (right in front) in a modern building and is more of an apart hotel. We didn't realize our stay was in the second one until we got there but it turned out to be lovely.”
“Very interesting concept, location and atmosphere.”
"
Hôtel des Voyageurs Boutique,Lausanne,Switzerland, 9.1 ,"Free WiFi, Pets allowed, Family rooms, Fitness centre, Non-smoking rooms, Airport shuttle, Tea/coffee maker in all rooms","Renovated in 2015 and set in an Art Deco building, the family-owned Hotel ","“Great location, just a few steps from all the major attractions in the city center. Great staff at the reception and at the diner. Nice view over the tiny street from the room.We left the luggage a bit longer and luckily so because we forgot something in the mini fridge and were able to get it once we picked up the luggage - thanks again!”
“Perfect location in the old town, few steps to cafes, restaurant and shops, very close to the underground, we had a nice and bright room, our windows went out onto a quiet street, the materaces were comfortable, very friendly staff.”
"
Hotel Schweizerhof Basel,Basel,Switzerland, 9.2 ,"Parking, Free WiFi, Family rooms, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms, Bar",Hotel Schweizerhof enjoys a preferred ,"“Great location by train station. Clean and comfortable with nice bathroom. Prompt and tasty room service. ”
“Location is perfect for train travellers particularly!
Breakfast is comprehensive and quality.
Quiet building, quiet rooms. Doors opening to ‘Juliet’ balcony, overlooking bustling transport hub of (quiet!) trams was great.
Basel Card for free local transport was bonus (common offering of most/all hotels) and there are some beautiful little spots to see...”
"
The Cambrian,Adelboden,Switzerland, 9.0 ,"2 swimming pools, Spa and wellness centre, Pets allowed, Parking, Family rooms, Free WiFi, Bar",Offering ,"“Everything excellent. Besides the view and the SPA, the restaurant offers excellent dishes”
“We really liked how the hotel is decorated, because it’s really modern and elegant in the heart of Adelboden, a typical Swiss station. Also, the panoramic view from the room is absolutely fantastic, breathtaking! Moreover, the staff was very welcoming. We had a « Time for Two » massage, which was very pleasant. I definitely recommend this place and if you can try their massages, don’t hesitate! ”
"
Hotel Rochat,Basel,Switzerland, 9.1 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms",This hotel in a historic listed building in the ,"“Very friendly and helpful staff, perfect location, clean room.”
“All good: Nice room with all necessary facilities, sparkling clean, huge TV in the room, good desk for work, soft sheets, nice smelling soap, etc.Breakfast was good: Simple buffet but will all the usual stuff: bacon, omelette, various cheese, fruits, cereals, croissant, marmalade, juices, yogurt, cold cuts, etc. I had a rich breakfast that kept me going all day long, until dinner!Both night and morning receptionist were very polite. Thank you!”
"
Hotel Wettstein,Basel,Switzerland, 9.0 ,"Free WiFi, Pets allowed, Family rooms, 
very good fitness centre
, Non-smoking rooms, 24-hour front desk, Tea/coffee maker in all rooms, Bar","The Wettstein hotel is located in a central residential quarter of Basel, 200 yards from the Rhine river, and offers you garage parking, free Wi-Fi and a free internet station.","“Beautiful garden where breakfast is served, nice rooms, nice gym”
“Courteous staff
Location
Cleanliness ..absolutely spotless
Comfortable beds and pillows 
Proper high power hairdryers 
Complimentary mini bar
”
"
Hotel one66 (free parking garage),Gallen,Switzerland, 9.1 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, Free parking, Facilities for disabled guests, Bar","Offering free garage parking, Hotel one66 is located in Sankt Gallen, directly at the motorway exit St. Gallen-Winkeln. The hotel offers rooms with a flat-screen TV and a modern bathroom and free Wi-Fi is provided.","“This hotel is located 2 minutes from the stadium, which was the reason we booked it. 
Very clean and quiet rooms. 
The best thing about this hotel is definately the staff, they are so kind & attentive at all times. 
”
“The room is new and cleanThe bed is very comfortableWifi is working goodThe staff is very nice and helpful”
"
Davos INN,Davos,Switzerland, 9.0 ,"Free WiFi, 
good fitness centre
, Skiing, Non-smoking rooms, Free parking","Located in Davos in the Grisons Region, 550 yards from Davos Congress Centre, Davos Inn features a terrace and ski storage space.","“Superfriendly staff and free gym/excercise room”
“Super friendly service
Little extras everywhere such as free parking included and complimentary water bottles in the room and to take away.
The breakfast is really yummy and served in a beautiful historic salon.”
"
Motel One Basel,Basel,Switzerland, 9.0 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, 24-hour front desk, Terrace, Bar",Motel One ,"“Extremely helpful and friendly staff. Terrific location - close to shops, museums, restaurants, cafes, and transit. Nice big lobby/bar area. Comfortable bed.”
“very nice, modern, clean city hotel in the heart of Basel with all confort. well equipped comfortable rooms.”
"
citizenM Zürich,Zürich,Switzerland, 9.0 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Daily housekeeping, Bar",This 4-star hotel is conveniently located in the centre of Zürich. A bar and a restaurant are available at citizenM Zürich.,"“The room was nicely designed, making the most out of limited space. The bed was excellent, we slept really well.”
“The room we booked was fabulous. We liked every detail.  Breakfast was good, due to covid no buffet, but nothing to do about that. Very easy check in and check out. Wifi was working good, staff was very friendly!”
"
Hotel Bristol Zurich,Zürich,Switzerland, 8.3 ,"Free WiFi, Pets allowed, Airport shuttle, Family rooms, Non-smoking rooms, 24-hour front desk",Just a 5-minute walk from the ,"“Location was easy but I didn’t particularly like the breakfast options so I just had the fruits.”
“have stayed here a few times now, location, friendliness and comfort are all the plusses, see other reviews for more detail”
"
Hyperion Hotel Basel,Basel,Switzerland, 9.0 ,"Free WiFi, Pets allowed, Airport shuttle, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar","In Basel's tallest habitable building, the Hyperion Hotel Basel is next to the Basel Messe trade fair centre and just a short walk from the ","“The man who checked us in on Tuesday night was amazing made our evenings with making us laugh after having a really long drive. Amazing room and view can see everything we wanted to visit.”
“Great customer service.  Nothing too much trouble.  I had a minor issue and they were quick to respond. ”
"
Hotel Aulac,Lausanne,Switzerland, 8.1 ,"Free WiFi, Pets allowed, Family rooms, Restaurant, Non-smoking rooms, 24-hour front desk, Tea/coffee maker in all rooms, Bar","Discover the charm of Ouchy's lakeside promenades, parks and gardens, surrounded by Alpine splendour and only a few steps from the ","“Paid a little extra for a lake view room and it was so worth it. The view was absolutely stunning and we couldn't believe how lucky we were to have found a hotel with a balcony view like that at such a reasonable price.”
“Great location, friendly staff, superb view over the lake. While the room was rather small for 4 plus dog (we knew this in advance as it is all according to the photos), they did a great job to make the room very functional.”
"
Eurotel Montreux,Montreux,Switzerland, 8.3 ,"Parking, Spa and wellness centre, Pets allowed, Free WiFi, Family rooms, Restaurant, Bar",The 4-star superior Eurotel Montreux is ,"“Nice lake view
Nice helping staff
Nice sun deck and lobby ”
“All great Fantastic viewElevator is a disaster- not ok for this hotel Extremely friendly staff”
"
ibis Lausanne Centre,Lausanne,Switzerland, 8.2 ,"Parking, Free WiFi, Pets allowed, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Bar","Located directly in the centre of Lausanne, this modern, completely non-smoking hotel is only a 10-minute walk away from the ","“Good hotel in a good location. Very close to the city center. Clean and cosy rooms. Best hotel for a short stay in Lausanne.”
“The breakfast was amazing! The staff were super friendly (I wish I remembered the names but we stayed from 6th to 8th July). We were able to store our baggage in the room after check out which was so lovely of the staff. Room was very clean and spacious”
"
ibis budget Hotel Luzern City,Luzern,Switzerland, 7.6 ,"Parking, Free WiFi, Pets allowed, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk",The ,"“Room was decent and clean. It is small though, but no complaints as it is a budget hotel. There are also free overnight parking places around the hotel.”
“Very good location, friendly and helpful staff, nice snacks. The rooms are clean and nice.”
"
ibis budget Lugano Paradiso,Lugano,Switzerland, 7.9 ,"Parking, Pets allowed, Free WiFi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Bar","Only 200 yards from Lake Lugano, Ibis Budget Lugano Paradiso offers free WiFi, a bar, and a restaurant. The centre of Lugano is 0.9 miles away.","“Good location, friendly helpful staff, nice modern decor.  Excellent breakfast ”
“Very good location. Very clean, functional and modern rooms. Nice and helpful staff. Overall a very pleasant stay.”
"
Holiday Inn Express - Luzern - Kriens,Luzern,Switzerland, 8.4 ,"Family rooms, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Lift, Tea/coffee maker in all rooms, Bar","Boasting a bar, terrace and views of mountain, Holiday Inn Express - Luzern - Kriens is situated in Luzern, 2.4 miles from KKL Culture and Convention Centre Lucerne. Among the facilities of this property are a restaurant, a 24-hour front desk and a shared lounge, along with free WiFi. The hotel has family rooms.","“Nice breakfast. Close to highway and train to Lucern. Accommodating n friendly staff.  Free public transport in Luzern during stay.”
“The staff was as very helpful and friendly.  The location was very accessible to public transportation, train station 10 mins walk and bus stop 3 mins walk. The hotel gave us free access to the public transportation during our stay. For parking, the hotel has limited parking spaces but plenty of public space across the hotel. This place was very convenient and family friendly as well.”
"
Hotel Manoir Morgan,City,Canada, 9.3 ,"Parking, Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, Room service, Bar","Boasting a bar, terrace and views of city, Hotel Manoir Morgan is situated in Quebec City, 200 yards from Fairmont Le Chateau Frontenac. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi throughout the property. The property is less than 0.6 miles from Morrin Centre and an 11-minute walk from Quartier du Petit Champlain.","“Location was amazing and close to all touristic attractions, everything was walking distance which was very nice. The hotel itself exceeded my expectations and was very modern and clean. Our hotel room was the perfect size ( we booked a queen room) and was very tidy and came with everything you needed.The room also had amazing air conditioning which was very nice! Everything in the hotel gave you the feeling you were staying somewhere very expensive and luxurious. It was also really nice that on the main floor of the hotel was a touristic activity planning center where you can book tours and such. All staff was so nice and always helpful whenever we needed something, they also spoke english very well. Would 100% recommend this hotel to anyone wanting to stay in Quebec City, it definitely exceeded my expectations and was amazing for the value of what we paid.”
“Everything - Staff/Room/Hotel and Location!”
"
Entourage sur-le-Lac,Lac-Beauport,Canada, 9.3 ,"1 swimming pool, Pets allowed, Tea/coffee maker in all rooms, Bar, Private beach area","Set in Lac-Beauport, 0.9 miles from Le Relais, Entourage sur-le-Lac features a private beach area. This 4-star hotel offers a 24-hour front desk, a shared lounge and free WiFi. There is a restaurant.","“Beautiful location and resort.Great aesthetics.  The room are very nice and lots of detailed attentionStaff is very friendly and helpful”
“Fantastic place to stay with our dog, they even provided a bed for him. I would definitely go back.”
"
Wingate by Wyndham Calgary Airport,Calgary,Canada, 9.0 ,"Parking, Airport shuttle (free), Free WiFi, Pets allowed, Non-smoking rooms, Family rooms",Featuring a daily complimentary ,"“The room was clean and a good size.  The staff were very friendly and accommodating.  The shuttle to the airport was on time and the driver was very friendly.  I was able to leave my vehicle in the parking lot for free (for 7 days) while I travelled which was a pleasant surprise as most hotels now charge a fee.”
“Basic continental breakfast due to the Covid situation.  Very clean. Comfortable and quiet stay”
"
Stars Inn,Leduc,Canada, 9.1 ,"Airport shuttle (free), Free WiFi, Tea/coffee maker in all rooms",Stars Inn is 1.2 miles away from Edmonton international Airport. The hotel offers free continental breakfast to guests. Free WiFi is available throughout the property.,"“Located close to airport and was much more modern and clean then I expected.  Great value for money.”
“Due to  covid no meals  But on other stays at Stars in Leduc Breakfast was hot and ready to eat under circumstances all was good .”
"
EXchange Hotel Vancouver,Vancouver,Canada, 9.0 ,"Parking, Free WiFi, Pets allowed, Non-smoking rooms, 
good fitness centre
, Restaurant, Bar","Situated within 200 yards of Waterfront Centre Mall Vancouver and Vancouver Lookout at Harbour Centre, EXchange Hotel Vancouver features rooms with air conditioning. Free WiFi is available.","“Outstanding location, excellent location, beautiful rooms  and very professional staff.Parking is secure and monitored.Very comfortable and quiet.”
“Perfect locationExtra cleanStaff is excellent 👌 👏”
"
Andaz Ottawa Byward Market-a concept by Hyatt,Ottawa,Canada, 9.0 ,"Parking, Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, 
very good fitness centre
, Bar",Situated in the Ottawa's trendy ,"“The decor, the bed!!! So soft and comfy, the view and its right in the center of everything. ”
“They provided a very nice and healthy breakfast, even under covid protocol.  Staff was very friendly and informative and were able help plan the day of site seeing and places to avoid during covid.”
"
OTL Gouverneur Saguenay,Saguenay,Canada, 9.4 ,"1 swimming pool, Free parking, Spa and wellness centre, Pets allowed, Free WiFi, Tea/coffee maker in all rooms, Bar","OTL Gouverneur Saguenay features a restaurant, fitness centre, a bar and shared lounge in Saguenay. This 5-star hotel features free WiFi and a garden. There is a hot tub, nightclub and room service.","“The breakfastthe supper at the restaurantthe room was clean , moderngreat ambiancehelpful staff”
“I loved everything and it was comfortable, quiet and an excellent location in the middle of a main street”
"
AC Hotel by Marriott Montreal Downtown,Montréal,Canada, 9.1 ,"1 swimming pool, Parking, Free WiFi, Non-smoking rooms, 
superb fitness centre
, Bar","Set in Downtown Montréal, half way between the Quartier des spectacles and Old Montreal, AC Hotel by Marriott Montreal Downtown provides concierge services, a fitness centre, free WiFi throughout the property and a bar.","“Very nice and large pool with an amazing view, very well located, beautiful hotel. We really enjoyed our stay there. ”
“The room was excellent and the front counter staff could not have been more helpful.  The hotel is very close to the old town and over the road from a major shopping mall.”
"
Moose Hotel and Suites,Banff,Canada, 9.1 ,"1 swimming pool, Pets allowed, Free WiFi, Family rooms, Non-smoking rooms, Tea/coffee maker in all rooms, Bar",Located a 1 ,"“very new, clean, pool deck with hot tubs and view of mountains with lovely lounge area and fire pit. Restaurant was good”
“Room is very clean and comfortable.Location is perfect, just in Banff town centre, everything is available within 10 minutes walk.Bath room is fantastic.My family had 2 great night.”
"
Trump International Hotel & Tower Vancouver,Vancouver,Canada, 9.1 ,"1 swimming pool, Parking, Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, Bar","Located in the financial district of Vancouver city centre, Trump International Hotel & Tower Vancouver is located walking distance from shopping, fine dining, and entertainment. The hotel has an indoor pool, and a spa & wellness centre. Free WiFi is provided throughout.","“Very tech modern, comfortable (beds!) and delightfully helpful staff.”
“The best sleep in our lives, pillows and mattress both heavenly, wish we could have the same ones at home.”
"
Hilton Niagara Falls/ Fallsview Hotel and Suites,Falls,Canada, 7.8 ,"Free WiFi, Non-smoking rooms, Family rooms, On-site parking, Restaurant, Facilities for disabled guests, Bar",Connected to the ,"“I was given first a room which I didn't accept . It had a very narrow view . I changed it with another very good room where reception were very helpful. Room was clean. House keeping were good.”
“We paid for the view. There was nothing special about the room. It was clean and the decor was in nice but no different than any room we could have got for half the price in the same area. Little fridge and in room coffee and tea was a nice touch too. But what a great view from the 38th floor. During these Covid times we need to support the Hotels.”
"
Embassy Suites by Hilton Niagara Falls/ Fallsview,Falls,Canada, 7.8 ,"1 swimming pool, Parking, WiFi, Non-smoking rooms, Family rooms, Bar","The Embassy Suites by Hilton Niagara Falls Fallsview is an all luxury suites Hotel and only a hundred yards away from brink of the Falls. It offers spacious two room suites with a separate living room and bedroom. Also included with every stay is our full buffet cooked-to-order breakfast, as well as our evening reception including alcoholic beverages, and free snacks.","“Breakfast was 2 water bottles 2 apples 2 small muffins and 2 oranges juice drinks in a bag not very impressive Because of covid stores are open but no one can use washrooms very awful. The pool was open but hot tubs where closed and get some families get in it fills up fast”
“The view in our room is amazing,Room is clean.My whole family especially my son love the place”
"
Days by Wyndham Niagara Falls Centre St. By the Falls,Falls,Canada, 8.2 ,"1 swimming pool, Parking, Free WiFi, Non-smoking rooms, Family rooms","Located in Niagara Falls, 550 yards from Casino Niagara, Days by Wyndham Niagara Falls Centre St. By the Falls offers express check-in and check-out and free WiFi throughout the property. This 3-star hotel offers an ATM. The hotel provides an indoor pool, fitness centre and a 24-hour front desk.","“The room was a good size, bed was very comfortable and the Location was great close to everything.”
“Very friendly staff and clean place.  Close to everything we needed and great prices.”
"
Ramada by Wyndham Niagara Falls/Fallsview,Falls,Canada, 7.2 ,"1 swimming pool, Parking, Free WiFi, Non-smoking rooms, Family rooms",Located in the heart of ,
Tower Hotel at Fallsview,Falls,Canada, 7.4 ,"WiFi, Non-smoking rooms, On-site parking, Restaurant, Facilities for disabled guests, 24-hour front desk","Set in Niagara Falls, 550 yards from Niagara Fallsview Casino Resort, Tower Hotel at Fallsview offers accommodation with a restaurant, private parking, a fitness centre and a shared lounge. This 4-star hotel offers a concierge service and a tour desk. The accommodation provides a 24-hour front desk, an ATM and currency exchange for guests.",
Sheraton on the Falls,Falls,Canada, 8.1 ,"4 swimming pools, Parking, WiFi, Non-smoking rooms, Spa and wellness centre, Tea/coffee maker in all rooms, Bar",Connected to Casino ,"“Super friendly and accommodating staff and the location couldn't have been better. Our room was clean, comfortable and the view of the falls was superb! Definitely will be back to make this our home away from home. ”
“The breakfast was alright. Didn’t receive exactly what I asked for but it was okay.”
"
The Oakes Hotel Overlooking the Falls,Falls,Canada, 8.0 ,"1 swimming pool, WiFi, Non-smoking rooms, Family rooms, On-site parking, Bar",Situated next door to ,"“The location was good.i would have liked my coffee maker in the room.the was not the greatest and i paid extra.”
“It was amazing hotel    And Rooms are very clean comfortable    🥰.  Wish to visit again”
"
Hôtel Le Concorde Québec,City,Canada, 7.8 ,"1 swimming pool, Parking, Free WiFi, Non-smoking rooms, Family rooms, Tea/coffee maker in all rooms, Bar","Located just 50 yards from Grande-Allée Street in the heart of Québec City, Hôtel Le Concorde Québec offers guest rooms with a city view. Free WiFi is available.","“the only thing who was too much expensif was the parking. 50$ for 2 days.”
“The price was great and the staff was super. The rooms are definitely outdated but clean and comfortable and the location is bang on. Right in the heart of the city, you can almost directly access les plaines d'Abraham from the back street and are just around the corner from la grande allé where there is literally a full alley of cool restaurants. All in all, me and my husband we’re super satisfied and I would definitely recommend this place to people.”
"
Nest Hotel Hiroshima Hatchobori,13-12,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, 24-hour front desk, Lift","Ideally set in the Hiroshima City Centre district of Hiroshima, Nest Hotel Hiroshima Hatchobori is situated 0.7 miles from Myoei-ji Temple, 0.7 miles from Atomic Bomb Dome and 0.9 miles from Hiroshima Peace Memorial Park. The property is around 1.5 miles from Hiroshima City Minami Ward Community Cultural Center, 1.6 miles from Hiroshima University Institute of Medical History and 2.2 miles from Aeon Mall Hiroshima-Fuchu. The accommodation features a 24-hour front desk and free WiFi is available throughout the property.","“Slept really well, very modern and clean, breakfast (free) was w lovely touch. I would stay here again for sure!”
“Brand new hotel and really close to restaurants, nightlife and Hiroshima dome. ”
"
Hiyori Hotel Osaka Namba Station,3-1-2,Japan, 9.1 ,"Non-smoking rooms, Free WiFi, 24-hour front desk, Restaurant, Laundry, Lift","Ideally located in the Shinsaibashi, Namba, Yotsubashi district of Osaka, Hiyori Hotel Osaka Namba Station is set 200 yards from Nankai Namba Station, 950 yards from Glico Man Sign, 1 miles from Tsutenkaku and 1 miles from Shinsekai. Located around 1.9 miles from Shitenno-ji Temple, the hotel is also 2.3 miles away from Abeno Harukas. The property is non-smoking and is situated 5 miles from Universal Studios Japan.","“Location was perfect, literally 2 mins walk from the Nankai Namba station with direct airport train service. Easy walking distance to Malls, dodonbori, morning markets etc. Ippudo and Macdonald just downstairs. Very new hotel hence amenities and room was new and comfortable. Slightly small but spacious enough for Japanese standards. Love the excellent service by all the staff who spoke well and was very helpful and welcoming. Kids friendly and I will definitely highly recommend anyone to stay here!
”
“Great location, close to shinsainashi and namba shopping mall. Got trolleys at the lobby for brings large piece of luggage up or down. ”
"
"Four Points by Sheraton Nagoya, Chubu International Airport",4-10-5,Japan, 9.0 ,"Non-smoking rooms, Parking, Airport shuttle (free), Free WiFi, Bar","Set in Tokoname, Four Points by Sheraton Nagoya, Chubu International Airport provides a fitness centre. Offering a restaurant, the property also has a bar. The accommodation features free shuttle service, a 24-hour front desk and luggage storage for guests.","“Close to the airpot. Beautiful sunset view of the bay. Great Breakfast”
“I love the large bed and the wonderfully spacious bathroom, especially the shower stall.”
"
Randor Residential Hotel Sapporo Suites,Chuo-ku,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, Family rooms","Well set in the Sapporo City Centre district of Sapporo, Randor Residential Hotel Sapporo Suites is located 750 yards from Odori Park, 0.7 miles from Former Hokkaidō Government Office and 0.9 miles from Sapporo TV Tower. The hotel features family rooms.","“All is good.Bed, toilet, amenity, location, staff, and so on.Its very comfortable and on my heart.”
“Brand new, so roomy and great to have a kitchenette and a spa bath. No coffee or tea provided but all the bathroom necesesities were ! ”
"
karaksa hotel grande Shin-Osaka Tower,3-3-24,Japan, 9.0 ,"Non-smoking rooms, Free WiFi, Family rooms, 24-hour front desk, Restaurant, Facilities for disabled guests","Ideally set in the Yodogawa Ward district of Osaka, karaksa hotel grande Shin-Osaka Tower is situated 450 yards from TKP Garden City Shin Osaka, 550 yards from Arde! Shin-Osaka and 750 yards from Eki Marche Shin-Osaka. With a restaurant, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features a 24-hour front desk and luggage storage space for guests.","“The onsen was nice. We got a room on a high floor as requested. The window bench is wide enough to sit on, have a snack/drink, and watch the train running by the station below. The hotel is also very close to Shin-Osaka station, which is convenient if you travel by shinkansen. There are a lot of shops inside the station so you do not have to travel far for Osaka specialties.”
“We love the little touches - the staff lend us an umbrella when it rains. They gave us some face masks because we didn't have any.”
"
Hotel Vischio Kyoto by GRANVIA,44-1,Japan, 9.3 ,"Non-smoking rooms, Free WiFi, Family rooms, Fitness centre, Restaurant, 24-hour front desk","Situated in Kyoto, 0.7 miles from TKP Garden City Kyoto, Hotel Vischio Kyoto by GRANVIA features air-conditioned accommodation and a fitness centre. Among the facilities of this property are a restaurant, a 24-hour front desk and a shared lounge, along with free WiFi throughout the property. The hotel has family rooms.","“The hotel was really conveniently located, right next to the station so that was really nice. Our rooms and the over all layout of the hotel was really beautiful. I really liked the lounge area with complimentary coffee and tea. The onsen was really nice as well. The breakfast was really nice and there was a great selection of different kinds of foods.”
“Breakfast good.  Location excellent, only 2 minutes walk from main station. Staff very helpful.”
"
